Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Factory],Price [Factory],In stock [Factory],Low stock [Factory],Optimal stock [Factory],Available for sale [Stock Room],Price [Stock Room],In stock [Stock Room],Low stock [Stock Room],Optimal stock [Stock Room],item_name,uom_detail,uomDenomination,uomDimension
0+4-box,10315,0+4 Box,Packing,,N,,,,,,,2.35,0.00,BOX 04,,,Y,,G.M. Box Chiang Mai,,N,2.35,0.000,,,Y,2.35,0.000,20.000,,0+4 Box,,,
cacao-mass-(1kg-block),10184,100% Cacao Mass (1kg block),Finished Good (others),"<p>Cacao Mass, 1 kilogram block. 100% nibs.</p>",N,,,,,,,variable,216.00,,10001,1.000,N,Y,,,N,variable,3.000,,,Y,variable,0.000,,,100% Cacao Mass,1kg block,,other
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
"100%-cocoa-mass,-7.5g-rounds-(melia)-(1kg)",10163,100% Cocoa Mass - Melia (1kg in 7.5g rounds),Finished Good (others),"<p>100% Cocoa Mass, 7.5g Rounds, Melia. Made with 100% Nibs. Sold in one kilogram unit.</p>",N,,,,,,,variable,216.00,,10001,1.000,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,100% Cocoa Mass - Melia,1kg in 7.5g rounds,,other
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
"2""-opp-tape",10317,"2"" OPP Tape",Packing,<p>OPP Tape 2นิ้ว 72 ชิ้น</p>,N,,,,,,,41.50,0.00,,,,Y,,,,N,41.50,0.000,,,Y,41.50,74.000,18.000,,"2"" OPP Tape",,,
"2""-opp-tape-fragile",10441,"2"" Opp Tape Fragile",Packing,<p>2&quot; Opp Tape Fragile (Red background)</p>,N,,,,,,,variable,0.00,,,,Y,,,,N,variable,0.000,,,Y,variable,7.000,6.000,,"2"" Opp Tape Fragile",,,
2a-box,10316,2A Box,Packing,,N,,,,,,,3.65,0.00,BOX 2A,,,Y,,G.M. Box Chiang Mai,,N,3.65,0.000,,,Y,3.65,28.000,20.000,,2A Box,,,
2b-box,10311,2B Box,Packing,,N,,,,,,,5.20,0.00,BOX 2B,,,Y,,G.M. Box Chiang Mai,,N,5.20,0.000,,,Y,5.20,37.000,20.000,,2B Box,,,
2c-box,10313,2C Box,Packing,,N,,,,,,,7.50,0.00,BOX 2C,,,Y,,G.M. Box Chiang Mai,,N,7.50,0.000,,,Y,7.50,50.000,20.000,,2C Box,,,
2d-box,10309,2D Box,Packing,,N,,,,,,,10.50,0.00,BOX 2D,,,Y,,G.M. Box Chiang Mai,,N,10.50,0.000,,,Y,10.50,25.000,20.000,,2D Box,,,
2e-box,10308,2E Box,Packing,,N,,,,,,,15.00,0.00,BOX 2E,,,Y,,G.M. Box Chiang Mai,,N,15.00,0.000,,,Y,15.00,43.000,10.000,,2E Box,,,
cocoa-powder,10009,666 Cocoa Powder (kg),Ingredients,<p>1 Box is 20x 500g bag or 10 kilograms.</p>,Y,,,,,,,287.00,0.01,,,,Y,,"Thong Guan Trading (Thailand) Co., Ltd.",0.00,Y,287.00,253.094,100.000,150.000,N,variable,0.000,,,666 Cocoa Powder,kg,kg,mass
70%-coated-almonds---paleo-robbie-(80g),10198,70% Coated Almonds - Paleo Robbie (80g),Finished Good (others),"<p>70% Coated Almonds, for Paleo Robbie, sold in 80 gram quantities.</p>",N,,,,,,,variable,8.88,,10045,0.027,N,Y,,,N,variable,10.000,,,Y,variable,0.000,,,70% Coated Almonds - Paleo Robbie,80g,,other
,,,,,,,,,,,,,,,10010,0.053,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10129,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10192,1.000,,,,,,,,,,,,,,,,,,
70%-coated-cashews---paleo-robbie-(80g),10200,70% Coated Cashews - Paleo Robbie (80g),Finished Good (others),"<p>70% Coated Cashews, for Paleo Robbie, Sold in 80% quantities.&nbsp;</p>",N,,,,,,,variable,8.88,,10047,0.027,N,Y,,,N,variable,10.000,,,Y,variable,0.000,,,70% Coated Cashews - Paleo Robbie,80g,,other
,,,,,,,,,,,,,,,10010,0.053,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10129,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10193,1.000,,,,,,,,,,,,,,,,,,
mango-jelly-coated-milk-chocolate-70g.,10297,70% Coated Mango Jelly (70g),Finished Good (others),<p>Mango Jelly Coated Milk Chocolate 70g.</p>,N,,,,,,,variable,0.84,,10293,0.065,N,Y,,,N,variable,195.000,,,Y,variable,22.000,,,70% Coated Mango Jelly,70g,,other
,,,,,,,,,,,,,,,10010,0.005,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10109,2.000,,,,,,,,,,,,,,,,,,
