finishedItem,itemKey,leafItem,leafItemKey,quantity,uom
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Biscuit,biscuit,3.195,g
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Cacao Beans,cacao beans,31.0685,g
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Cacao Butter,cacao butter,6.2137,g
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Cinnamon Powder,cinnamon powder,0.285,g
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Dried Apple,dried apple,6.383,g
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Flow Wrap Foil,flow wrap foil,3,g
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Organic Cane Sugar,organic cane sugar,21.74795,g
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Powdered Milk,powdered milk,9.32055,g
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Sunflower Lecithin,sunflower lecithin,0.186411,g
Apple Pie Milk Chocolate - Halloween (75g),apple pie milk chocolate halloween 75g,Wrapper - Apple Pie Milk Chocolate - Halloween (75g),wrapper apple pie milk chocolate halloween 75g,1,piece
Banana Crunch Milk Chocolate (75g),banana crunch milk chocolate 75g,Banana Chips,banana chips,6.638,g
Banana Crunch Milk Chocolate (75g),banana crunch milk chocolate 75g,Banana Powder,banana powder,1.988,g
Banana Crunch Milk Chocolate (75g),banana crunch milk chocolate 75g,Cacao Beans,cacao beans,33.1875,g
Banana Crunch Milk Chocolate (75g),banana crunch milk chocolate 75g,Cacao Butter,cacao butter,6.6375,g
Banana Crunch Milk Chocolate (75g),banana crunch milk chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Banana Crunch Milk Chocolate (75g),banana crunch milk chocolate 75g,Organic Cane Sugar,organic cane sugar,23.23125,g
Banana Crunch Milk Chocolate (75g),banana crunch milk chocolate 75g,Powdered Milk,powdered milk,9.95625,g
Banana Crunch Milk Chocolate (75g),banana crunch milk chocolate 75g,Sunflower Lecithin,sunflower lecithin,0.199125,g
Banana Crunch Milk Chocolate (75g),banana crunch milk chocolate 75g,Wrapper - Banana Crunch (75g),wrapper banana crunch 75g,1,piece
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Cacao Beans,cacao beans,48.136025,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Cacao Butter,cacao butter,1.86333,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Chili Powder,chili powder,0.128,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Coconut Milk Powder,coconut milk powder,6.2111,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Dried Coconut Flakes,dried coconut flakes,6.21,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Galangal Oil,galangal oil,0.15,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Kaffir Lime Oil,kaffir lime oil,0.064,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Lemongrass Oil,lemongrass oil,0.128,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Organic Cane Sugar,organic cane sugar,15.52775,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,"Tomato, Dried",tomato dried,6.21,g
Coconut Curry Dark Chocolate (75g),coconut curry dark chocolate 75g,Wrapper - Coconut Curry (75g),wrapper coconut curry 75g,1,piece
Coconut Milk 65% Dark Chocolate (75g),coconut milk 65 dark chocolate 75g,Cacao Beans,cacao beans,53.765625,g
Coconut Milk 65% Dark Chocolate (75g),coconut milk 65 dark chocolate 75g,Cacao Butter,cacao butter,2.08125,g
Coconut Milk 65% Dark Chocolate (75g),coconut milk 65 dark chocolate 75g,Coconut Milk Powder,coconut milk powder,6.9375,g
Coconut Milk 65% Dark Chocolate (75g),coconut milk 65 dark chocolate 75g,Dried Coconut Flakes,dried coconut flakes,5.625,g
Coconut Milk 65% Dark Chocolate (75g),coconut milk 65 dark chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Coconut Milk 65% Dark Chocolate (75g),coconut milk 65 dark chocolate 75g,Organic Cane Sugar,organic cane sugar,17.34375,g
Coconut Milk 65% Dark Chocolate (75g),coconut milk 65 dark chocolate 75g,Wrapper - Coconut Milk (75g),wrapper coconut milk 75g,1,piece
Coffee Crunch Milk Chocolate (75g),coffee crunch milk chocolate 75g,Cacao Beans,cacao beans,36.765,g
Coffee Crunch Milk Chocolate (75g),coffee crunch milk chocolate 75g,Cacao Butter,cacao butter,7.353,g
Coffee Crunch Milk Chocolate (75g),coffee crunch milk chocolate 75g,Coffee Beans,coffee beans,1.47,g
Coffee Crunch Milk Chocolate (75g),coffee crunch milk chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Coffee Crunch Milk Chocolate (75g),coffee crunch milk chocolate 75g,Organic Cane Sugar,organic cane sugar,25.7355,g
Coffee Crunch Milk Chocolate (75g),coffee crunch milk chocolate 75g,Powdered Milk,powdered milk,11.0295,g
Coffee Crunch Milk Chocolate (75g),coffee crunch milk chocolate 75g,Sunflower Lecithin,sunflower lecithin,0.22059,g
Coffee Crunch Milk Chocolate (75g),coffee crunch milk chocolate 75g,Wrapper - Coffee Crunch (75g),wrapper coffee crunch 75g,1,piece
Durian Milk Chocolate (75g),durian milk chocolate 75g,Cacao Beans,cacao beans,36.585,g
Durian Milk Chocolate (75g),durian milk chocolate 75g,Cacao Butter,cacao butter,7.317,g
Durian Milk Chocolate (75g),durian milk chocolate 75g,Durian Powder,durian powder,1.83,g
Durian Milk Chocolate (75g),durian milk chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Durian Milk Chocolate (75g),durian milk chocolate 75g,Organic Cane Sugar,organic cane sugar,25.6095,g
Durian Milk Chocolate (75g),durian milk chocolate 75g,Powdered Milk,powdered milk,10.9755,g
Durian Milk Chocolate (75g),durian milk chocolate 75g,Sunflower Lecithin,sunflower lecithin,0.21951,g
Durian Milk Chocolate (75g),durian milk chocolate 75g,Wrapper - Durian (75g),wrapper durian 75g,1,piece
German Chocolate Cake 70% Dark Chocolate - Christmas (75g),german chocolate cake 70 dark chocolate christmas 75g,Cacao Beans,cacao beans,47.62875,g
German Chocolate Cake 70% Dark Chocolate - Christmas (75g),german chocolate cake 70 dark chocolate christmas 75g,Cacao Butter,cacao butter,2.931,g
German Chocolate Cake 70% Dark Chocolate - Christmas (75g),german chocolate cake 70 dark chocolate christmas 75g,Dried Coconut Flakes,dried coconut flakes,4.68,g
German Chocolate Cake 70% Dark Chocolate - Christmas (75g),german chocolate cake 70 dark chocolate christmas 75g,Flow Wrap Foil,flow wrap foil,3,g
German Chocolate Cake 70% Dark Chocolate - Christmas (75g),german chocolate cake 70 dark chocolate christmas 75g,Organic Cane Sugar,organic cane sugar,17.586,g
German Chocolate Cake 70% Dark Chocolate - Christmas (75g),german chocolate cake 70 dark chocolate christmas 75g,Pecans,pecans,5.85,g
German Chocolate Cake 70% Dark Chocolate - Christmas (75g),german chocolate cake 70 dark chocolate christmas 75g,Toffee,toffee,5.85,g
German Chocolate Cake 70% Dark Chocolate - Christmas (75g),german chocolate cake 70 dark chocolate christmas 75g,Wrapper - German Chocolate Cake 70% Dark Chocolate - Christmas (75g),wrapper german chocolate cake 70 dark chocolate christmas 75g,1,piece
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Cacao Beans,cacao beans,33.48,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Cacao Butter,cacao butter,6.696,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Cinnamon Powder,cinnamon powder,0.4,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Clove Powder,clove powder,0.16,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Flow Wrap Foil,flow wrap foil,3,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Ginger Powder,ginger powder,0.78,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Gingerbread Cookie,gingerbread cookie,6.7,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Organic Cane Sugar,organic cane sugar,23.436,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Powdered Milk,powdered milk,10.044,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Sunflower Lecithin,sunflower lecithin,0.20088,g
Gingerbread Cookie Milk Chocolate - Christmas (75g),gingerbread cookie milk chocolate christmas 75g,Wrapper - Gingerbread Cookie Milk Chocolate - Christmas (75g),wrapper gingerbread cookie milk chocolate christmas 75g,1,piece
Hill Coffee and Pomelo Dark Chocolate (75g),hill coffee and pomelo dark chocolate 75g,Cacao Beans,cacao beans,60.571875,g
Hill Coffee and Pomelo Dark Chocolate (75g),hill coffee and pomelo dark chocolate 75g,Coffee Beans,coffee beans,1.365,g
Hill Coffee and Pomelo Dark Chocolate (75g),hill coffee and pomelo dark chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Hill Coffee and Pomelo Dark Chocolate (75g),hill coffee and pomelo dark chocolate 75g,Organic Cane Sugar,organic cane sugar,18.4275,g
Hill Coffee and Pomelo Dark Chocolate (75g),hill coffee and pomelo dark chocolate 75g,"Pomelo, Dried",pomelo dried,6.75,g
Hill Coffee and Pomelo Dark Chocolate (75g),hill coffee and pomelo dark chocolate 75g,Wrapper - Hill Coffee and Pomelo (75g),wrapper hill coffee and pomelo 75g,1,piece
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Cacao Beans,cacao beans,33.8415,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Cacao Butter,cacao butter,6.7683,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Chili Powder,chili powder,0.105,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Curry Powder,curry powder,0.405,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Khao Soi Crispy Noodles,khao soi crispy noodles,4.74,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Organic Cane Sugar,organic cane sugar,23.68905,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Powdered Milk,powdered milk,10.15245,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Salt,salt,0.035,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,"Shallots, Dried",shallots dried,2.033,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Sunflower Lecithin,sunflower lecithin,0.203049,g
Khao Soi Curry Milk Chocolate (75g),khao soi curry milk chocolate 75g,Wrapper - Khao Soi (75g),wrapper khao soi 75g,1,piece
Mango Chili Dark Chocolate (75g),mango chili dark chocolate 75g,Cacao Beans,cacao beans,52.741813,g
Mango Chili Dark Chocolate (75g),mango chili dark chocolate 75g,Cacao Butter,cacao butter,3.24565,g
Mango Chili Dark Chocolate (75g),mango chili dark chocolate 75g,Chili Powder,chili powder,0.225,g
Mango Chili Dark Chocolate (75g),mango chili dark chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Mango Chili Dark Chocolate (75g),mango chili dark chocolate 75g,"Mango, Dried",mango dried,9.735,g
Mango Chili Dark Chocolate (75g),mango chili dark chocolate 75g,Organic Cane Sugar,organic cane sugar,19.4739,g
Mango Chili Dark Chocolate (75g),mango chili dark chocolate 75g,Salt,salt,0.128,g
Mango Chili Dark Chocolate (75g),mango chili dark chocolate 75g,Wrapper - Mango Chili (75g),wrapper mango chili 75g,1,piece
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),mango jelly popping candy milk chocolate loi kratong 75g,Cacao Beans,cacao beans,28.0915,g
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),mango jelly popping candy milk chocolate loi kratong 75g,Cacao Butter,cacao butter,5.6183,g
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),mango jelly popping candy milk chocolate loi kratong 75g,Flow Wrap Foil,flow wrap foil,3,g
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),mango jelly popping candy milk chocolate loi kratong 75g,Mango Jelly,mango jelly,11.235,g
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),mango jelly popping candy milk chocolate loi kratong 75g,Organic Cane Sugar,organic cane sugar,19.66405,g
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),mango jelly popping candy milk chocolate loi kratong 75g,Popping Candy,popping candy,7.583,g
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),mango jelly popping candy milk chocolate loi kratong 75g,Powdered Milk,powdered milk,8.42745,g
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),mango jelly popping candy milk chocolate loi kratong 75g,Sunflower Lecithin,sunflower lecithin,0.168549,g
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),mango jelly popping candy milk chocolate loi kratong 75g,Wrapper - Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),wrapper mango jelly popping candy milk chocolate loi kratong 75g,1,piece
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Allspice Powder,allspice powder,0.74,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Cacao Beans,cacao beans,34.803,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Cacao Butter,cacao butter,6.9606,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Cardamom Powder,cardamom powder,0.185,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Cinnamon Powder,cinnamon powder,3.3,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Clove Oil,clove oil,0.062,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Ginger Oil,ginger oil,0.367,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Organic Cane Sugar,organic cane sugar,24.3621,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Powdered Milk,powdered milk,10.4409,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Star Anise Powder,star anise powder,0.74,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Sunflower Lecithin,sunflower lecithin,0.208818,g
Masala Chai Milk Chocolate (75g),masala chai milk chocolate 75g,Wrapper - Masala Chai (75g),wrapper masala chai 75g,1,piece
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Cacao Beans,cacao beans,31.045,g
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Cacao Butter,cacao butter,6.209,g
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Lotus Seed,lotus seed,3.35,g
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Organic Cane Sugar,organic cane sugar,21.7315,g
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Powdered Milk,powdered milk,9.3135,g
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Salted Egg Powder,salted egg powder,3.35,g
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Sunflower Lecithin,sunflower lecithin,0.18627,g
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Sunflower Seeds,sunflower seeds,6.21,g
Mooncake Milk Chocolate (75g),mooncake milk chocolate 75g,Wrapper - Mooncake (75g),wrapper mooncake 75g,1,piece
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Cacao Beans,cacao beans,50.323813,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Cacao Butter,cacao butter,3.09685,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Chili Powder,chili powder,0.063,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Cinnamon Powder,cinnamon powder,0.188,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Clove Oil,clove oil,0.063,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Curry Powder,curry powder,0.27,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Flow Wrap Foil,flow wrap foil,3,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,"Ginger, Dried",ginger dried,6.195,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Lemongrass Oil,lemongrass oil,0.09,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Organic Cane Sugar,organic cane sugar,18.5811,g
Peanut Curry Dark Chocolate (75g),peanut curry dark chocolate 75g,Peanuts,peanuts,6.195,g
