kind,output_name,component_name,reason,suggested,raw_value,row_number
"component","70% Dark Chocolate (8g) - UNWRAPPED","Base - 70% Dark Chocolate","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","368"
"component","85% Dark Chocolate (8g) - Anantara","85% Dark Chocolate (8g) - UNWRAPPED","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","379"
"component","85% Dark Chocolate (8g) - Mahabhirom","85% Dark Chocolate (8g) - UNWRAPPED","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","376"
"component","85% Dark Chocolate (8g) - UNWRAPPED","Base - 85% Dark Chocolate","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","353"
"component","Apple Pie Milk Chocolate - Halloween (75g)","Apple Pie Milk Chocolate - Halloween (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","215"
"component","Banana Crunch Milk Chocolate (75g)","Banana Crunch Milk Chocolate (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","196"
"component","Banana Milk Chocolate (20g)","Banana Milk Chocolate (20g) - GOLD FOIL","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","271"
"component","Cacao Hot Sauce","Cacao Hot Sauce (90ml)","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","550"
"component","Cacao Nibs 1kg - Retail","Cacao Nibs - Raw Material","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","315"
"component","Cacao Powder 250g","Cacao Powder KD30","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","321"
"component","Cacao Powder 80g","Cacao Powder KD30","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","317"
"component","Chiang Mai Chocolate Collection","Signature Dark 70% (20g) - GOLD FOIL","COMPONENT_UNMAPPED_NO_SUGGESTION","","","273"
"component","Coconut Curry Dark Chocolate (75g)","Coconut Curry Dark Chocolate (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","190"
"component","Coconut Milk 65% Dark chocolate (20g)","Coconut Milk 65% Dark chocolate (20g) - GOLD FOIL","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","259"
"component","Coffee Crunch Milk Chocolate (20g)","Coffee Crunch Milk Chocolate (20g) - GOLD FOIL","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","263"
"component","Durian Milk Chocolate (20g)","Durian Milk Chocolate (20g) - GOLD FOIL","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","269"
"component","Hill Coffee and Pomelo Dark Chocolate (75g)","Hill Coffee and Pomelo Dark Chocolate (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","186"
"component","Khao Soi Curry Milk Chocolate (75g)","Khao Soi Curry Milk Chocolate (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","194"
"component","Mango Chili Dark Chocolate (75g)","Mango Chili Dark Chocolate (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","184"
"component","Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g)","Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","211"
"component","Masala Chai Milk Chocolate (20g)","Masala Chai Milk Chocolate (20g) - GOLD FOIL","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","265"
"component","Mooncake Milk Chocolate (75g)","Mooncake Milk Chocolate (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","213"
"component","Peanut Curry Dark Chocolate (75g)","Peanut Curry Dark Chocolate (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","188"
"component","Signature Dark 70% Dark Chocolate (20g)","Signature Dark 70% Dark Chocolate (20g) - GOLD FOIL","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","255"
"component","Signature Dark 70% Dark Chocolate (75g)","Signature Dark 70% Dark Chocolate (75g) - FLOW WRAP","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","168"
"component","Signature Dark 85% Dark Chocolate (20g)","Signature Dark 85% Dark Chocolate (20g) - GOLD FOIL","COMPONENT_SELF_REFERENCE_AFTER_MAPPING","","","253"
